http://www.rdatamining.com/docs,mktrf,smb,hml,rf,umd
20060613,-0.0115,-0.0034,-0.0041,0.00018,-0.0122
20060614,0.0046,0.0018,-0.0022,0.00018,0.0073
20060615,0.0233,0.0105,0.0027,0.00018,0.0201
20060616,-0.0043,-0.0072,0.0001,0.00018,-0.001
20060619,-0.0101,-0.0078,0.0015,0.00018,-0.0058
20060620,-0.0007,-0.0038,0.0007,0.00018,0.0001
20060621,0.0111,0.0075,-0.0017,0.00018,0.0113
20060622,-0.0052,0.0015,0.0016,0.00018,0.0017
20060623,0.0003,0.0024,0.0022,0.00018,0.0076
20060626,0.005,0.0053,0.002,0.00018,0.002
20060627,-0.01,-0.0073,0.0029,0.00018,-0.0022
20060628,0.0047,-0.0037,0.0015,0.00018,0.001
20060629,0.0229,0.0142,-0.0025,0.00018,0.0126
20060630,-0.0002,0.0115,0.0013,0.00018,0.0057
20060703,0.0072,-0.0007,-0.0024,0.0002,0.0056
20060705,-0.0088,-0.0055,0.0038,0.0002,-0.0035
20060706,0.0023,-0.0007,0.0002,0.0002,-0.0012
20060707,-0.008,-0.0085,0.0072,0.0002,-0.007
20060710,0.0004,-0.0027,0.0051,0.0002,-0.0035
20060711,0.0037,0.0032,-0.0016,0.0002,0.003
20060712,-0.0121,-0.0066,0.0035,0.0002,0.002
20060713,-0.0143,-0.0055,0.0007,0.0002,-0.006
20060714,-0.006,-0.0035,0.0015,0.0002,-0.0007
20060717,-0.0022,-0.0045,0.0008,0.0002,-0.007
20060718,0.0017,0.0016,0.003,0.0002,0.0025
20060719,0.0198,0.009,-0.0028,0.0002,0.0076
20060720,-0.0111,-0.016,0.006,0.0002,-0.0036
20060721,-0.0089,-0.0086,0.0033,0.0002,-0.01
20060724,0.0175,0.0086,-0.0049,0.0002,0.0045
20060725,0.0069,0.002,0,0.0002,0.0009
20060726,-0.0013,-0.0035,0.0047,0.0002,-0.0038
20060727,-0.0058,-0.0073,0.0036,0.0002,-0.0009
20060728,0.0131,0.0067,-0.0015,0.0002,0.0047
20060731,-0.0009,0.0026,-0.0009,0.0002,0.0067
20060801,-0.006,-0.0092,0.0034,0.00018,-0.0024
20060802,0.0064,0.0028,-0.0025,0.00018,0.001
20060803,0.0027,0.0085,-0.0046,0.00018,0.008
20060804,-0.0013,-0.0045,0.0016,0.00018,-0.0066
20060807,-0.0035,-0.0027,0.001,0.00018,0.0003
20060808,-0.0042,-0.008,0.001,0.00018,-0.0014
20060809,-0.0052,-0.0043,-0.0001,0.00018,-0.003
20060810,0.0049,0.0036,-0.0038,0.00018,-0.0038
20060811,-0.0049,-0.0058,0.0019,0.00018,-0.002
20060814,0.0012,0.0025,-0.0031,0.00018,-0.005
20060815,0.0146,0.0075,-0.0042,0.00018,0.0029
20060816,0.009,0.0063,-0.0052,0.00018,-0.0022
20060817,0.0018,0.0036,-0.0018,0.00018,-0.008
20060818,0.003,-0.0017,-0.0012,0.00018,0.0002
20060821,-0.0048,-0.0049,0.0015,0.00018,0.0027
20060822,0.0007,0.0028,0.0006,0.00018,0.002
20060823,-0.0055,-0.0075,0.0015,0.00018,-0.0023
20060824,0.0016,-0.0021,0.0008,0.00018,-0.0018
20060825,-0.0007,0.0018,-0.0009,0.00018,-0.0006
20060828,0.0058,0.004,-0.0012,0.00018,-0.0025
20060829,0.0033,0.0092,-0.0012,0.00018,-0.0051
20060830,0.0013,0.0075,-0.0028,0.00018,-0.0062
20060831,0.0003,0.0001,0.0023,0.00018,0.0013
20060901,0.0049,-0.0027,-0.0004,0.0002,0.0021
20060905,0.0021,0.0052,0.0001,0.0002,0.0022
20060906,-0.0113,-0.0101,0.0046,0.0002,-0.0007
20060907,-0.005,-0.0017,0.0021,0.0002,-0.0004
20060908,0.0032,-0.0008,-0.0012,0.0002,-0.0046
20060911,-0.0003,-0.0016,-0.0008,0.0002,-0.0059
20060912,0.0118,0.0115,-0.0032,0.0002,-0.0093
20060913,0.0045,0.0043,-0.0008,0.0002,0.0047
20060914,-0.0016,-0.0025,0.0008,0.0002,-0.0025
20060915,0.0021,0.0001,-0.0029,0.0002,-0.0026
20060918,0.0004,0,-0.003,0.0002,0.0032
20060919,-0.0029,-0.0023,0.0019,0.0002,0.0024
20060920,0.006,0.0053,0.0001,0.0002,0.0018
20060921,-0.0059,-0.0039,0.0007,0.0002,0.0015
20060922,-0.0041,-0.0089,0.0051,0.0002,-0.0008
20060925,0.0086,0.0017,0.0009,0.0002,-0.0014
20060926,0.0071,-0.0035,-0.0018,0.0002,0
20060927,0.0008,0.0042,-0.0027,0.0002,0.0019
20060928,0.0015,-0.001,-0.0019,0.0002,-0.0018
20060929,-0.0033,-0.0064,0.0025,0.0002,0.0007
